# Powder_Size,Laser_Spot,Laser_Power,Scanning_Speed,Hatch_Distance,Layer_Thickness,Sample_Area,Sample_Length,Ultimate_Tensile_Strength
-1.049251080100842004e-01,1.392009262620085508e+00,5.011710012618709742e-01,7.811998360367803373e-01,2.175831974059676988e+00,-7.401261516268231588e-01,-7.137546303962150063e-01,-1.764572008946618364e+00,2.055276499485560737e-01
7.221819179025034119e-01,2.801146155988293085e+00,3.945835070728378850e-03,2.180888431150071749e-01,1.294198691532697731e+00,-7.401261516268231588e-01,3.973779081001346802e-01,3.128276703415319715e-01,-4.333300034471352924e-01
-5.051381850645618732e-01,1.392009262620085508e+00,9.079915917818967008e-01,2.180888431150071749e-01,1.294198691532697731e+00,-1.155907975734198068e-01,1.114237610355844010e+00,1.224856797833890676e+00,9.159681488452101616e-01
-8.586597364626836759e-01,1.392009262620085508e+00,1.395526985774036277e-01,7.811998360367803373e-01,1.294198691532697731e+00,-7.401261516268231588e-01,-3.194817941555748164e-01,-8.018745965935731856e-01,1.121480189154426821e+00
2.952879690443935279e-01,1.392009262620085508e+00,5.011710012618709742e-01,1.062755332497667071e+00,2.175831974059676988e+00,-7.401261516268231588e-01,1.114237610355844010e+00,-5.992014571508267329e-01,-5.617307553883555543e-02
5.620966870807120319e-01,5.465271265991609173e-01,5.011710012618709742e-01,9.219775842672236488e-01,1.294198691532697731e+00,-7.401261516268231588e-01,-5.345397048322876321e-01,1.101545308987855742e-01,-3.178738010262271985e-01
-2.383294670282434524e-01,1.392009262620085508e+00,5.011710012618709742e-01,7.811998360367803373e-01,2.175831974059676988e+00,-7.401261516268231588e-01,-3.911677643811457550e-01,-9.032111663149463565e-01,8.289911430214597088e-01
2.952879690443935279e-01,1.392009262620085508e+00,5.011710012618709742e-01,7.811998360367803373e-01,2.175831974059676988e+00,-7.401261516268231588e-01,1.114237610355844010e+00,-5.992014571508267329e-01,-4.179358431243475613e-01
-3.850742619482188100e-01,2.801146155988293085e+00,4.107664255907541584e-01,4.996443395758937700e-01,1.294198691532697731e+00,-7.401261516268231588e-01,3.973779081001346802e-01,3.128276703415319715e-01,1.691064121097573425e+00
2.952879690443935279e-01,1.392009262620085508e+00,-2.220656041070637188e-01,7.811998360367803373e-01,2.175831974059676988e+00,-7.401261516268231588e-01,1.114237610355844010e+00,-5.992014571508267329e-01,5.057137762429171346e-01
2.952879690443935279e-01,1.392009262620085508e+00,8.627893039463383484e-01,7.811998360367803373e-01,2.175831974059676988e+00,-7.401261516268231588e-01,1.114237610355844010e+00,-5.992014571508267329e-01,2.671042912397070812e-01
2.952879690443935279e-01,1.392009262620085508e+00,5.011710012618709742e-01,7.811998360367803373e-01,2.175831974059676988e+00,-7.401261516268231588e-01,5.407498485512765019e-01,1.101545308987855742e-01,1.929673606100783312e+00
2.952879690443935279e-01,1.392009262620085508e+00,5.011710012618709742e-01,2.180888431150071749e-01,2.175831974059676988e+00,-7.401261516268231588e-01,1.114237610355844010e+00,-5.992014571508267329e-01,-3.871475224787720437e-01
-5.184786209663779788e-01,-1.712763074812210032e-02,4.559687134263125663e-01,4.996443395758937700e-01,1.294198691532697731e+00,-7.401261516268231588e-01,-7.495976155090005033e-01,-1.612567154364558775e+00,6.288670588252190941e-01
-8.586597364626836759e-01,1.392009262620085508e+00,1.395526985774036277e-01,7.811998360367803373e-01,4.125654090057186973e-01,-7.401261516268231588e-01,-3.194817941555748164e-01,-8.018745965935731856e-01,1.283118872543698163e+00
2.952879690443935279e-01,1.392009262620085508e+00,5.011710012618709742e-01,4.996443395758937700e-01,2.175831974059676988e+00,-7.401261516268231588e-01,1.114237610355844010e+00,-5.992014571508267329e-01,-4.641183240927107545e-01
2.952879690443935279e-01,1.392009262620085508e+00,1.395526985774036277e-01,7.811998360367803373e-01,2.175831974059676988e+00,-7.401261516268231588e-01,1.114237610355844010e+00,-5.992014571508267329e-01,4.518342151131599649e-01
2.952879690443935279e-01,1.392009262620085508e+00,1.224407606630805612e+00,7.811998360367803373e-01,2.175831974059676988e+00,-7.401261516268231588e-01,1.114237610355844010e+00,-5.992014571508267329e-01,3.055896920466764088e-01
